Format Version,1.23,Take Name,Alza_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2022-12-02 12.25.22.852 PM,Capture Start Frame,2634524,Total Frames in Take,10514,Total Exported Frames,10514,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Cup:Marker1,Cup:Marker1,Cup:Marker1,Cup:Marker2,Cup:Marker2,Cup:Marker2,Cup:Marker3,Cup:Marker3,Cup:Marker3,Cup:Marker4,Cup:Marker4,Cup:Marker4,Cup:Marker5,Cup:Marker5,Cup:Marker5,Cup:Marker6,Cup:Marker6,Cup:Marker6
,ID,"DDD70","DDD70","DDD70","DDD90","DDD90","DDD90","DDD60","DDD60","DDD60","DDD80","DDD80","DDD80","DE540","DE540","DE540","DDD50","DDD50","DDD50"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
47,0.130556,0.206428,0.137642,0.052977,0.138550,0.142434,0.053393,0.230542,0.139305,0.171795,0.142000,0.145166,0.179667,0.228643,0.136859,0.099335,0.243090,0.137755,0.131032
48,0.133333,0.206441,0.137622,0.052967,0.138573,0.142434,0.053408,0.230547,0.139309,0.171810,0.141991,0.145165,0.179682,0.228677,0.136868,0.099339,0.243078,0.137765,0.131047
49,0.136111,,,,,,,,,,,,,,,,,,
50,0.138889,0.206453,0.137643,0.052955,0.138560,0.142438,0.053409,0.230534,0.139320,0.171805,0.142003,0.145170,0.179677,0.228632,0.136898,0.099340,0.243081,0.137774,0.131039
51,0.141667,0.207297,0.139987,0.053166,0.138563,0.142439,0.053407,0.230558,0.139302,0.171817,0.142014,0.145171,0.179677,0.228629,0.136908,0.099321,0.243109,0.137764,0.131044
52,0.144444,,,,,,,,,,,,,,,,,,
53,0.147222,0.206457,0.137644,0.052972,0.138565,0.142426,0.053399,0.230555,0.139308,0.171823,0.142002,0.145181,0.179673,0.228652,0.136886,0.099337,0.243093,0.137770,0.131055
54,0.150000,,,,,,,,,,,,,,,,,,
55,0.152778,0.206182,0.138182,0.053237,0.138575,0.142437,0.053405,0.230528,0.139306,0.171829,0.141999,0.145175,0.179674,0.228661,0.136877,0.099322,0.243088,0.137768,0.131061
56,0.155556,0.206469,0.137632,0.052961,0.138575,0.142422,0.053384,0.230553,0.139307,0.171805,0.142013,0.145172,0.179667,0.228653,0.136886,0.099338,0.243078,0.137775,0.131054
57,0.158333,,,,,,,,,,,,,,,,,,
58,0.161111,0.207289,0.139981,0.053152,0.138555,0.142442,0.053401,0.230565,0.139291,0.171823,0.142014,0.145172,0.179669,0.228652,0.136875,0.099337,0.243088,0.137763,0.131050
59,0.163889,,,,,,,,,,,,,,,,,,
60,0.166667,,,,,,,,,,,,,,,,,,
